model,transmission,body_type,drive_type,color,production_year,auto_key,engine_capacity,horsepower,engine_type,price,milage
Honda Civic VI,механика,хэтчбек 5 дв.,передний,зелёный,1998,1099559046,1.5,115,Бензин,200000,254000
Honda Civic Ferio III,вариатор,седан,передний,золотистый,2002,1096409636,1.5,105,Бензин,235000,326790
Honda Orthia I,автомат,универсал 5 дв.,передний,красный,1996,1095257260,2.0,145,Бензин,145000,298984
Honda Civic VII,автомат,седан,передний,серебристый,2002,1097493526,1.7,115,Бензин,250000,391000
Honda CR-V II,автомат,внедорожник 5 дв.,полный,серебристый,2003,1096040544,2.4,162,Бензин,470000,190000
Honda CR-V II,автомат,внедорожник 5 дв.,полный,красный,2003,1099639180,2.4,162,Бензин,480000,153616
Honda Civic VIII,механика,седан,передний,чёрный,2007,1097693116,1.8,140,Бензин,420000,253000
Honda Civic VIII,механика,седан,передний,голубой,2007,1098763682,1.8,140,Бензин,380000,166000
Honda Civic VIII,автомат,седан,передний,чёрный,2008,1093671886,1.8,140,Бензин,440000,237000
Honda Stream I,автомат,компактвэн,передний,белый,2003,1100301600,1.7,130,Бензин,300000,180000
Honda Concerto,механика,хэтчбек 5 дв.,передний,синий,1991,1097340262,1.5,90,Бензин,75000,195000
Honda HR-V I,вариатор,внедорожник 5 дв.,полный,серебристый,2000,1094327286,1.6,105,Бензин,300000,251400
Honda Civic VI,автомат,хэтчбек 5 дв.,передний,синий,1998,1093575214,1.4,90,Бензин,260000,340000
Honda Accord Type-S VIII Type S,автомат,седан,передний,красный,2008,1073861164,2.4,201,Бензин,650000,225000
Honda HR-V I Рестайлинг,вариатор,внедорожник 5 дв.,передний,красный,2003,1091493928,1.6,105,Бензин,330000,218000
Honda Accord  VII Sport,автомат,седан,передний,красный,2004,1095605282,2.0,155,Бензин,390000,225000
Honda Domani II,автомат,седан,передний,фиолетовый,1997,1099893310,1.6,120,Бензин,230000,275000
Honda Civic V,механика,седан,передний,синий,1993,1097385372,1.6,125,Бензин,129000,310000
Honda CR-V II,механика,внедорожник 5 дв.,полный,серебристый,2002,1097718688,2.0,150,Бензин,420000,280000
Honda CR-V I,автомат,внедорожник 5 дв.,полный,серый,1995,1097031792,2.0,128,Бензин,330000,300000
Honda HR-V I Рестайлинг,механика,внедорожник 5 дв.,полный,синий,2002,1084399429,1.6,124,Бензин,335000,266000
Honda Accord VII Рестайлинг,автомат,седан,передний,красный,2006,1078697203,2.4,190,Бензин,430000,237321
Honda CR-V I,механика,внедорожник 5 дв.,полный,синий,1998,1099777382,2.0,128,Бензин,250000,380000
Honda Accord IV,автомат,седан,передний,серебристый,1991,1097907998,2.0,133,Бензин,90000,270000
Honda Civic VI,механика,седан,передний,чёрный,1997,1100123794,1.5,90,Бензин,180000,330000
Honda Saber II,автомат,седан,передний,чёрный,1998,1099893374,3.2,225,Бензин,300000,349100
Honda Civic  VIII Type S,робот,хэтчбек 3 дв.,передний,чёрный,2008,1098946022,1.8,140,Бензин,450000,145000
Honda CR-V II,автомат,внедорожник 5 дв.,полный,серебристый,2003,1094944152,2.0,150,Бензин,500000,370000
Honda Civic VIII,робот,хэтчбек 5 дв.,передний,красный,2007,1097476280,1.8,140,Бензин,340000,260000
Honda HR-V I,вариатор,внедорожник 3 дв.,полный,синий,1998,1095891376,1.6,124,Бензин,210000,299000
Honda CR-V II,автомат,внедорожник 5 дв.,полный,зелёный,2002,1094878598,2.4,162,Бензин,435000,200000
Honda CR-V I,автомат,внедорожник 5 дв.,полный,синий,1997,1091911574,2.0,128,Бензин,220000,223000
Honda Accord V,механика,седан,передний,синий,1995,1096131208,2.0,115,Бензин,110000,243000
Honda HR-V I,вариатор,внедорожник 3 дв.,полный,синий,1998,1099893014,1.6,124,Бензин,170000,407000
Honda CR-V I,автомат,внедорожник 5 дв.,полный,синий,1998,1096506606,2.0,128,Бензин,265000,285000
Honda Accord  VII Sport,автомат,седан,передний,серебристый,2005,1098861182,2.0,155,Бензин,435000,237000
Honda Accord VIII,автомат,седан,передний,синий,2008,1079092182,2.4,201,Бензин,700000,225000
Honda Concerto,автомат,хэтчбек 5 дв.,передний,белый,1988,1097042566,1.5,90,Бензин,65000,270000
Honda Avancier I,автомат,универсал 5 дв.,полный,чёрный,1999,1090367370,2.3,150,Бензин,355000,300000
Honda HR-V I,механика,внедорожник 3 дв.,передний,серебристый,1999,1092459348,1.6,105,Бензин,279000,225000
Honda Shuttle I,автомат,компактвэн,передний,зелёный,1995,1099177488,2.2,150,Бензин,195000,280000
Honda Accord VIII,автомат,седан,передний,красный,2008,1099533822,2.0,156,Бензин,590000,219000
Honda Accord  VII Рестайлинг Sport,автомат,седан,передний,красный,2007,1094288624,2.0,155,Бензин,450000,200000
Honda Orthia I,автомат,универсал 5 дв.,полный,синий,1996,1095330264,2.0,145,Бензин,220000,100000
Honda Civic VIII,автомат,седан,передний,серебристый,2007,1097126288,1.8,140,Бензин,530000,205000
Honda Logo,вариатор,хэтчбек 3 дв.,передний,серебристый,1999,1096225006,1.3,91,Бензин,145000,270000
Honda Shuttle I,автомат,компактвэн,передний,серебристый,1998,1096790612,2.2,150,Бензин,160000,200000
Honda Accord  VII Рестайлинг Sport,автомат,седан,передний,серый,2007,1099573970,2.0,155,Бензин,495000,233000
Honda HR-V I Рестайлинг,вариатор,внедорожник 5 дв.,передний,красный,2002,1098342010,1.6,105,Бензин,275000,175000
Honda Civic VIII,автомат,седан,передний,серебристый,2007,1086883440,1.8,140,Бензин,405000,160000
Honda HR-V I,вариатор,внедорожник 3 дв.,передний,белый,1998,1088545948,1.6,105,Бензин,250000,320000
Honda Civic VI,механика,универсал 5 дв.,передний,серебристый,1998,1100311826,1.4,90,Бензин,130000,296000
Honda Civic VIII,механика,седан,передний,золотистый,2008,1094978118,1.8,140,Бензин,395000,260000
Honda Shuttle I,автомат,компактвэн,передний,серый,1997,1098354284,2.2,150,Бензин,250000,267000
Honda Stream I,автомат,компактвэн,передний,серый,2002,1099256296,1.7,130,Бензин,320000,250000
Honda Shuttle I,автомат,компактвэн,передний,синий,1996,1094330204,2.2,150,Бензин,210000,420000
Honda Accord IV,механика,универсал 5 дв.,передний,синий,1992,1100087194,2.2,150,Бензин,110000,394000
Honda Civic VIII,автомат,седан,передний,серебристый,2006,1098345708,1.8,140,Бензин,380000,199000
Honda Civic VIII,робот,хэтчбек 5 дв.,передний,серый,2007,1097435812,1.8,140,Бензин,450000,252000
Honda CR-V I,автомат,внедорожник 5 дв.,полный,серый,1997,1098048788,2.0,145,Бензин,450000,400000
Honda Accord V,механика,седан,передний,чёрный,1994,1094253156,2.0,115,Бензин,160000,416000
Honda CR-V III,автомат,внедорожник 5 дв.,полный,коричневый,2008,1100195486,2.4,166,Бензин,850000,214000
Honda CR-V I,механика,внедорожник 5 дв.,полный,зелёный,1997,1097617372,2.0,128,Бензин,245000,366150
